celula,algoritmo,seed,git_sha,total_kwh,total_gco2,total_migrations,total_mig_bytes,mean_active_hosts,final_sla_violations,total_unplaced_vms,algo_wall_total_us,fonte_carbono
az-em2021-alta,follow_renewables,51,305e2b27726305e196eea090fabc312280b39e1f,141.4295312218615,62007.84184197906,2765,21057587.978588104,340.57916666666665,33652,392,73011,em2021
az-em2021-alta,followme_s,42,305e2b27726305e196eea090fabc312280b39e1f,142.90188613389336,63208.447726220016,1070,9040568.487371445,393.92083333333335,7508,457,247525,em2021
az-em2021-alta,followme_s,43,305e2b27726305e196eea090fabc312280b39e1f,142.3093740788467,62822.73587470613,1038,8792698.2906456,393.5083333333333,6236,267,261182,em2021
az-em2021-alta,followme_s,44,305e2b27726305e196eea090fabc312280b39e1f,142.95688991117458,63170.72048211483,1057,9056768.682191849,394.3625,3864,399,249333,em2021
az-em2021-alta,followme_s,45,305e2b27726305e196eea090fabc312280b39e1f,142.6385187919459,62942.04792966877,1070,9299238.559984207,393.44166666666666,6475,449,249293,em2021
az-em2021-alta,followme_s,46,305e2b27726305e196eea090fabc312280b39e1f,142.5358384385351,62900.31186404903,1081,9107264.154938698,393.95,7033,366,237694,em2021
az-em2021-alta,followme_s,47,305e2b27726305e196eea090fabc312280b39e1f,142.77906049506873,63057.73526903091,1066,8802154.286928177,394.1458333333333,7244,467,263595,em2021
az-em2021-alta,followme_s,48,305e2b27726305e196eea090fabc312280b39e1f,143.168789057815,63463.20613201627,1033,8694490.45335865,395.35833333333335,8130,329,267238,em2021
az-em2021-alta,followme_s,49,305e2b27726305e196eea090fabc312280b39e1f,142.9096061102885,63129.152889710196,1084,9329248.425092697,393.8541666666667,5793,374,247371,em2021
az-em2021-alta,followme_s,50,305e2b27726305e196eea090fabc312280b39e1f,142.89505101621074,63249.1306069362,1057,8959995.534751892,395.4,3496,471,280061,em2021
az-em2021-alta,followme_s,51,305e2b27726305e196eea090fabc312280b39e1f,142.24447063204906,62833.482800989645,1067,8647503.028020859,392.6625,5672,455,269822,em2021
az-em2021-alta,lowest_carbon_dc,42,305e2b27726305e196eea090fabc312280b39e1f,143.88073146832448,63738.44930466857,0,0.0,398.5083333333333,0,507,17506,em2021
az-em2021-alta,lowest_carbon_dc,43,305e2b27726305e196eea090fabc312280b39e1f,143.32208556675803,63363.19272042025,0,0.0,397.19166666666666,0,277,21582,em2021
az-em2021-alta,lowest_carbon_dc,44,305e2b27726305e196eea090fabc312280b39e1f,143.76297574291848,63569.803603080196,0,0.0,397.9125,0,435,22451,em2021
az-em2021-alta,lowest_carbon_dc,45,305e2b27726305e196eea090fabc312280b39e1f,143.7688308437255,63555.745732107905,0,0.0,398.22083333333336,0,550,19190,em2021
az-em2021-alta,lowest_carbon_dc,46,305e2b27726305e196eea090fabc312280b39e1f,143.34348254429597,63295.86453060374,0,0.0,397.19166666666666,0,364,23037,em2021
az-em2021-alta,lowest_carbon_dc,47,305e2b27726305e196eea090fabc312280b39e1f,143.8239068136042,63605.633125111046,0,0.0,398.6333333333333,0,494,18028,em2021
az-em2021-alta,lowest_carbon_dc,48,305e2b27726305e196eea090fabc312280b39e1f,144.3675165727265,63995.119999249546,0,0.0,400.52916666666664,0,333,23129,em2021
az-em2021-alta,lowest_carbon_dc,49,305e2b27726305e196eea090fabc312280b39e1f,143.61976483804182,63531.00444857611,0,0.0,397.45,0,406,20661,em2021
az-em2021-alta,lowest_carbon_dc,50,305e2b27726305e196eea090fabc312280b39e1f,143.55181169462682,63693.68987719868,0,0.0,398.0875,0,520,16833,em2021
az-em2021-alta,lowest_carbon_dc,51,305e2b27726305e196eea090fabc312280b39e1f,143.31268964061192,63414.717078736925,0,0.0,397.7125,0,458,20933,em2021
az-em2021-alta,round_robin,42,305e2b27726305e196eea090fabc312280b39e1f,159.10600008771368,73456.00200657513,0,0.0,436.8333333333333,0,411,7144,em2021
az-em2021-alta,round_robin,43,305e2b27726305e196eea090fabc312280b39e1f,159.76496183895884,73829.22362160971,0,0.0,439.2875,0,235,6094,em2021
az-em2021-alta,round_robin,44,305e2b27726305e196eea090fabc312280b39e1f,159.45561072756755,73719.31902598336,0,0.0,437.87916666666666,0,359,7734,em2021
az-em2021-alta,round_robin,45,305e2b27726305e196eea090fabc312280b39e1f,159.230123772004,73521.15755099434,0,0.0,437.1166666666667,0,441,6252,em2021
az-em2021-alta,round_robin,46,305e2b27726305e196eea090fabc312280b39e1f,159.25941463361724,73545.6582542636,0,0.0,437.00416666666666,0,348,6428,em2021
az-em2021-alta,round_robin,47,305e2b27726305e196eea090fabc312280b39e1f,159.33063354669198,73606.94464808861,0,0.0,437.51666666666665,0,422,8583,em2021
az-em2021-alta,round_robin,48,305e2b27726305e196eea090fabc312280b39e1f,159.2673396589396,73495.25847880651,0,0.0,437.74583333333334,0,294,8350,em2021
az-em2021-alta,round_robin,49,305e2b27726305e196eea090fabc312280b39e1f,159.56820002040524,73719.90521482064,0,0.0,438.68333333333334,0,330,9608,em2021
az-em2021-alta,round_robin,50,305e2b27726305e196eea090fabc312280b39e1f,158.98434472574743,73362.41035466843,0,0.0,437.51666666666665,0,381,6563,em2021
az-em2021-alta,round_robin,51,305e2b27726305e196eea090fabc312280b39e1f,159.22314979598653,73515.48367004229,0,0.0,437.75416666666666,0,340,6349,em2021
