celula,algoritmo,total_gco2,gco2_por_vm,gco2_por_mips,vms_alocadas,demanda_admitida_mips
go-flat-alta,round_robin,77321.86087244897,8.695469586120542,0.0018815438399567986,8892.2,41097775.91424227
go-flat-alta,worst_fit,68630.2254767651,7.865515452767241,0.0023232566726199425,8725.466666666667,29542354.0751048
go-flat-alta,wsnb,68548.19813475944,7.866296703825863,0.0015883948931818162,8714.433333333332,43170073.6489027
go-flat-folgada,best_fit,19455.563317323384,9.72778165866169,0.0017670646543729645,2000.0,11010102.697248
go-flat-folgada,bfd,18941.171608221444,9.470585804110723,0.001720344680613727,2000.0,11010102.697248
go-flat-folgada,cnemesis,18843.162630404877,9.421581315202438,0.0017114429491302354,2000.0,11010102.697248
go-flat-folgada,ffd,17507.922769883888,8.753961384941942,0.0015901688886389798,2000.0,11010102.697248
go-flat-folgada,first_fit,18976.947385505613,9.488473692752807,0.0017235940397040022,2000.0,11010102.697248
go-flat-folgada,follow_renewables,18989.90299547732,9.494951497738661,0.00172477074171378,2000.0,11010102.697248
go-flat-folgada,followme_s,18439.90344144264,9.219951720721319,0.0016748166614332974,2000.0,11010102.697248
go-flat-folgada,lowest_carbon_dc,18989.90299547732,9.494951497738661,0.00172477074171378,2000.0,11010102.697248
go-flat-folgada,round_robin,64954.77415735194,32.54151283246539,0.006288225397263146,1996.0666666666666,10341436.030581333
go-flat-folgada,worst_fit,32004.019769684888,16.206485047700497,0.004747207305343912,1974.7666666666667,6742306.8365777675
go-flat-folgada,wsnb,18989.90299547732,9.494951497738661,0.00172477074171378,2000.0,11010102.697248
go-realjan-alta,best_fit,64420.19474526608,7.268272366402456,0.0012478984315514457,8863.766666666666,51647460.9358219
go-realjan-alta,bfd,64359.93756079308,7.784598629449723,0.0012046010147706092,8268.833333333334,53453785.50609926
go-realjan-alta,cnemesis,60858.381907628354,6.861309340573665,0.0013102153665488984,8870.0,46469388.78216704
go-realjan-alta,ffd,63457.34108661603,7.378965911774633,0.0012227498257307225,8600.866666666667,51920907.36530137
go-realjan-alta,first_fit,63280.36251955381,7.292163978189992,0.0014938057045535958,8678.233333333334,42377860.23769663
go-realjan-alta,follow_renewables,59832.83513141543,6.748714225989182,0.0012918457959547088,8866.066666666668,46335749.750089265
go-realjan-alta,followme_s,60319.53925047605,6.906586032124975,0.0013816913947202164,8734.1,43674905.87902184
go-realjan-alta,lowest_carbon_dc,61011.31702684961,6.998438584572776,0.0014106278874399167,8718.266666666666,43268508.4630121
go-realjan-alta,round_robin,74632.70405146663,8.39305194353563,0.0018161047395261218,8892.2,41097775.91424227
go-realjan-alta,worst_fit,65541.58847940256,7.511540101758402,0.0022187183185119305,8725.466666666667,29542354.0751048
go-realjan-alta,wsnb,61017.5828091941,6.994673519834068,0.0014015284870185264,8723.8,43555746.11505333
go-realjan-folgada,best_fit,14195.119453827007,7.097559726913503,0.0012892812941131882,2000.0,11010102.697248
go-realjan-folgada,bfd,13734.262990560612,6.867131495280305,0.00124742369514805,2000.0,11010102.697248
go-realjan-folgada,cnemesis,4130.321273487502,2.065160636743751,0.00037513921414374145,2000.0,11010102.697248
go-realjan-folgada,ffd,11821.547658019803,5.910773829009901,0.0010737000356022678,2000.0,11010102.697248
go-realjan-folgada,first_fit,12627.762696195277,6.313881348097639,0.0011469250599589426,2000.0,11010102.697248
go-realjan-folgada,follow_renewables,4205.889181749452,2.1029445908747264,0.000382002720356162,2000.0,11010102.697248
go-realjan-folgada,followme_s,4020.4837679297407,2.0102418839648704,0.0003651631486538876,2000.0,11010102.697248
go-realjan-folgada,lowest_carbon_dc,4205.889181749452,2.1029445908747264,0.000382002720356162,2000.0,11010102.697248
go-realjan-folgada,round_robin,61148.64730069583,30.634611185936425,0.005919227684721095,1996.0666666666666,10341436.030581333
go-realjan-folgada,worst_fit,30775.24040818661,15.584245379666092,0.004564950162951361,1974.7666666666667,6742306.8365777675
go-realjan-folgada,wsnb,6246.018812803176,3.123009406401588,0.0005672988694614431,2000.0,11010102.697248
go-realjun-alta,best_fit,64420.19474526608,7.268272366402456,0.0012478984315514457,8863.766666666666,51647460.9358219
go-realjun-alta,bfd,64359.93756079308,7.784598629449723,0.0012046010147706092,8268.833333333334,53453785.50609926
go-realjun-alta,cnemesis,60858.381907628354,6.861309340573665,0.0013102153665488984,8870.0,46469388.78216704
go-realjun-alta,ffd,63457.34108661603,7.378965911774633,0.0012227498257307225,8600.866666666667,51920907.36530137
go-realjun-alta,first_fit,63280.36251955381,7.292163978189992,0.0014938057045535958,8678.233333333334,42377860.23769663
go-realjun-alta,follow_renewables,59832.83513141543,6.748714225989182,0.0012918457959547088,8866.066666666668,46335749.750089265
go-realjun-alta,followme_s,60319.53925047605,6.906586032124975,0.0013816913947202164,8734.1,43674905.87902184
