celula,regime,algoritmo,seed,migracoes,intra_dc,inter_dc,frac_intra,vms_migradas,vms_com_mais_de_2_migracoes,max_migracoes_por_vm
az-em2021-folgada,moderada,cnemesis,45,460,460,0,1.0,160,68,12
az-em2021-folgada,moderada,cnemesis,46,460,460,0,1.0,181,70,9
az-em2021-folgada,moderada,cnemesis,47,460,460,0,1.0,185,68,11
az-em2021-folgada,moderada,cnemesis,48,460,460,0,1.0,143,76,10
az-em2021-folgada,moderada,cnemesis,49,460,460,0,1.0,163,62,11
az-em2021-folgada,moderada,cnemesis,50,460,460,0,1.0,174,74,10
az-em2021-folgada,moderada,cnemesis,51,460,460,0,1.0,176,71,9
az-em2021-folgada,moderada,follow_renewables,42,366,0,366,0.0,366,0,1
az-em2021-folgada,moderada,follow_renewables,43,325,0,325,0.0,325,0,1
az-em2021-folgada,moderada,follow_renewables,44,323,0,323,0.0,323,0,1
az-em2021-folgada,moderada,follow_renewables,45,372,0,372,0.0,372,0,1
az-em2021-folgada,moderada,follow_renewables,46,359,0,359,0.0,359,0,1
az-em2021-folgada,moderada,follow_renewables,47,371,0,371,0.0,371,0,1
az-em2021-folgada,moderada,follow_renewables,48,343,0,343,0.0,343,0,1
az-em2021-folgada,moderada,follow_renewables,49,376,0,376,0.0,376,0,1
az-em2021-folgada,moderada,follow_renewables,50,351,0,351,0.0,351,0,1
az-em2021-folgada,moderada,follow_renewables,51,358,0,358,0.0,358,0,1
az-em2021-folgada,moderada,followme_s,42,872,566,306,0.6490825688073395,355,91,15
az-em2021-folgada,moderada,followme_s,43,987,743,244,0.7527862208713273,347,122,11
az-em2021-folgada,moderada,followme_s,44,914,646,268,0.7067833698030634,370,126,9
az-em2021-folgada,moderada,followme_s,45,873,565,308,0.6471935853379153,359,115,12
az-em2021-folgada,moderada,followme_s,46,952,641,311,0.6733193277310925,372,104,13
az-em2021-folgada,moderada,followme_s,47,888,577,311,0.6497747747747747,368,108,12
az-em2021-folgada,moderada,followme_s,48,953,685,268,0.7187827911857293,328,131,13
az-em2021-folgada,moderada,followme_s,49,1031,756,275,0.7332686711930165,330,114,20
az-em2021-folgada,moderada,followme_s,50,947,673,274,0.7106652587117213,350,107,12
az-em2021-folgada,moderada,followme_s,51,992,740,252,0.7459677419354839,340,125,18
az-flat-alta,alta,cnemesis,42,460,460,0,1.0,354,15,6
az-flat-alta,alta,cnemesis,43,460,460,0,1.0,318,38,5
az-flat-alta,alta,cnemesis,44,460,460,0,1.0,337,31,4
az-flat-alta,alta,cnemesis,45,460,460,0,1.0,349,26,4
az-flat-alta,alta,cnemesis,46,460,460,0,1.0,355,21,5
az-flat-alta,alta,cnemesis,47,460,460,0,1.0,322,31,6
az-flat-alta,alta,cnemesis,48,460,460,0,1.0,340,25,5
az-flat-alta,alta,cnemesis,49,460,460,0,1.0,300,39,7
az-flat-alta,alta,cnemesis,50,460,460,0,1.0,305,29,6
az-flat-alta,alta,cnemesis,51,460,460,0,1.0,355,15,4
az-flat-alta,alta,cnemesis,52,460,460,0,1.0,351,22,4
az-flat-alta,alta,cnemesis,53,460,460,0,1.0,324,27,4
az-flat-alta,alta,cnemesis,54,460,460,0,1.0,348,19,5
az-flat-alta,alta,cnemesis,55,460,460,0,1.0,344,21,5
