celula,algoritmo,n_seeds,categoria,dif_gco2,dif_gco2_pct,dif_kwh,dif_kwh_pct,gib_migrados,gco2_por_gib,degenerado_por_construcao,p_bruto,p_holm3,significativo_gco2,recorte
go-flat-folgada,followme_s,30,vence_ambos,-549.9995540346832,-2.896273636393363,-1.1578937979667177,-2.8962736363909336,8851.81950818207,0.06213406786325658,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
go-realjan-alta,cnemesis,30,dominado,-152.93511922126152,-0.25066680523214807,0.07076356258959701,0.04930447425623712,6776.221838823427,0.022569379052061266,False,0.023410143330693245,0.023410143330693245,True,campanha_completa
go-realjan-alta,follow_renewables,30,vence_ambos,-1178.481895434183,-1.9315791772132396,-1.2460977346477486,-0.8682179278481857,18308.140570060383,0.0643692837579243,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
go-realjan-alta,followme_s,30,vence_ambos,-691.7777763735565,-1.133851570634218,-0.7944128560581637,-0.5535067311054469,8633.684913883668,0.0801254369685326,False,3.725290298461914e-09,7.450580596923828e-09,True,campanha_completa
go-realjan-folgada,cnemesis,30,vence_ambos,-75.56790826194992,-1.7967165799294127,-0.3100874315989219,-0.8813847184227152,3680.1830498252993,0.020533736294866416,False,4.7124922275543213e-07,9.424984455108643e-07,True,campanha_completa
go-realjan-folgada,follow_renewables,30,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,False,1.0,1.0,False,campanha_completa
go-realjan-folgada,followme_s,30,vence_ambos,-185.40541381971212,-4.408233450948705,-1.0546491015063182,-2.9977080869508796,8852.086336900822,0.02094482665028139,False,3.725290298461914e-09,1.1175870895385742e-08,True,campanha_completa
go-realjun-alta,cnemesis,30,dominado,-152.93511922126152,-0.25066680523214807,0.07076356258959701,0.04930447425623712,6776.221838823427,0.022569379052061266,False,0.023410143330693245,0.023410143330693245,True,campanha_completa
go-realjun-alta,follow_renewables,30,vence_ambos,-1178.481895434183,-1.9315791772132396,-1.2460977346477486,-0.8682179278481857,18308.140570060383,0.0643692837579243,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
go-realjun-alta,followme_s,30,vence_ambos,-691.7777763735565,-1.133851570634218,-0.7944128560581637,-0.5535067311054469,8633.684913883668,0.0801254369685326,False,3.725290298461914e-09,7.450580596923828e-09,True,campanha_completa
go-realjun-folgada,cnemesis,30,vence_ambos,-75.56790826194992,-1.7967165799294127,-0.3100874315989219,-0.8813847184227152,3680.1830498252993,0.020533736294866416,False,4.7124922275543213e-07,9.424984455108643e-07,True,campanha_completa
go-realjun-folgada,follow_renewables,30,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,False,1.0,1.0,False,campanha_completa
go-realjun-folgada,followme_s,30,vence_ambos,-185.40541381971212,-4.408233450948705,-1.0546491015063182,-2.9977080869508796,8852.086336900822,0.02094482665028139,False,3.725290298461914e-09,1.1175870895385742e-08,True,campanha_completa
hetcap-az-anticorr-folgada,cnemesis,10,vence_ambos,-412.47378082978577,-7.588505753758231,-1.5296341713539192,-3.2510046053520756,3680.594022244494,0.11206717674834771,False,0.001953125,0.005859375,True,campanha_completa
hetcap-az-anticorr-folgada,follow_renewables,10,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,False,1.0,1.0,False,campanha_completa
hetcap-az-anticorr-folgada,followme_s,10,vence_ambos,-707.9009290701483,-13.02364058760968,-1.7660985168563443,-3.7535735794418152,6364.232300702575,0.11123115807573523,False,0.001953125,0.005859375,True,campanha_completa
hetcap-az-realjun-folgada,cnemesis,10,vence_ambos,-1872.155099498114,-15.541035683931444,-4.451721463190121,-9.736887443590497,3700.684361419827,0.5058942932327878,False,0.001953125,0.005859375,True,campanha_completa
hetcap-az-realjun-folgada,follow_renewables,10,vence_ambos,-2475.38189322841,-20.548510294010097,-5.114890666659209,-11.187383379517003,4182.014061904605,0.5919114227227281,False,0.001953125,0.005859375,True,campanha_completa
hetcap-az-realjun-folgada,followme_s,10,vence_ambos,-1652.8530904567524,-13.720577352790334,-5.069427305576247,-11.087945076080363,7855.829382560589,0.210398292779369,False,0.001953125,0.005859375,True,campanha_completa
net100-az-anticorr-folgada,cnemesis,10,vence_ambos,-457.3742604745689,-7.1510400215356755,-1.2990110683696727,-2.718332648984926,3680.5069234392604,0.1242693656033594,False,0.001953125,0.005859375,True,campanha_completa
net100-az-anticorr-folgada,follow_renewables,10,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,False,1.0,1.0,False,campanha_completa
net100-az-anticorr-folgada,followme_s,10,dominado,27.120228043742735,0.4240243776130946,0.9095395591676187,1.9033179465758718,2356.7828391287476,,False,0.037109375,0.07421875,False,campanha_completa
net100-az-realjun-alta,cnemesis,10,dominado,-16.06403078818621,-0.026554936098537416,0.020480657770067977,0.01425459830889044,2915.2101235948503,0.005510419526252562,False,0.556640625,0.556640625,False,campanha_completa
net100-az-realjun-alta,follow_renewables,10,dominado,-58.431056876770164,-0.09659051342666358,0.13191558300543135,0.09181363545724033,14008.381569942552,0.004171149720974497,False,0.10546875,0.2109375,False,campanha_completa
net100-az-realjun-alta,followme_s,10,vence_ambos,-87.03220770560657,-0.1438701621411651,-0.10330116882961135,-0.07189791866240906,4068.141667625867,0.021393602980497438,False,0.037109375,0.111328125,False,campanha_completa
net100-az-realjun-folgada,cnemesis,10,vence_ambos,-332.9804091568948,-5.570816312497046,-1.303650393613848,-3.03038129242395,3680.5069234392604,0.09047134432387924,False,0.001953125,0.005859375,True,campanha_completa
net100-az-realjun-folgada,follow_renewables,10,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,False,1.0,1.0,False,campanha_completa
net100-az-realjun-folgada,followme_s,10,vence_ambos,-2.548589143699337,-0.04263831019825379,-0.014947308518490843,-0.03474554553000877,2941.582795957569,0.0008664006150708053,False,0.76953125,1.0,False,campanha_completa
net100-go-realjun-folgada,cnemesis,10,vence_ambos,-78.10164667732742,-1.8600458124273886,-0.3931907409181477,-1.1209433543195007,3680.154523140192,0.02122238242612842,False,0.001953125,0.005859375,True,campanha_completa
net100-go-realjun-folgada,follow_renewables,10,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,False,1.0,1.0,False,campanha_completa
net100-go-realjun-folgada,followme_s,10,vence_ambos,-135.73040041965865,-3.232515237005473,-0.6952373763854048,-1.9820449355290892,7776.571063078567,0.017453759416418947,False,0.001953125,0.005859375,True,campanha_completa
pue-az-realjun-folgada,cnemesis,10,vence_ambos,-321.72306436333446,-5.017889926225069,-1.2595768037941668,-2.523382043495246,3680.5069234392604,0.0874127045691574,False,0.001953125,0.005859375,True,campanha_completa
pue-az-realjun-folgada,follow_renewables,10,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,False,1.0,1.0,False,campanha_completa
