celula_i,celula_j,tau_b,p_nao_corrigido
net100-az-realjun-folgada,net100-az-anticorr-folgada,0.8148148148148148,0.0005686266662584609
net100-az-realjun-folgada,net100-az-realjun-alta,0.9174698042719671,9.448129391490142e-05
net100-az-realjun-folgada,geo3-az-realjun-folgada,0.6605782590758164,0.004936818556325078
net100-az-realjun-folgada,geo3-go-realjun-folgada,0.6605782590758164,0.004936818556325078
net100-az-realjun-folgada,hetcap-az-realjun-folgada,0.8807710121010884,0.0001781293054554629
net100-az-realjun-folgada,hetcap-az-anticorr-folgada,0.9629629629629629,4.6465836804030796e-05
net100-az-realjun-folgada,pue-az-realjun-folgada,0.9629629629629629,4.6465836804030796e-05
net100-az-realjun-folgada,pue-go-realjun-folgada,0.8888888888888888,0.00017029377577951654
net100-go-realjun-folgada,net100-az-anticorr-folgada,0.7037037037037037,0.002918218884552016
net100-go-realjun-folgada,net100-az-realjun-alta,0.8807710121010884,0.0001781293054554629
net100-go-realjun-folgada,geo3-az-realjun-folgada,0.6238794669049377,0.007931923532795267
net100-go-realjun-folgada,geo3-go-realjun-folgada,0.7706746355884524,0.0010393630991335228
net100-go-realjun-folgada,hetcap-az-realjun-folgada,0.7706746355884524,0.0010393630991335228
net100-go-realjun-folgada,hetcap-az-anticorr-folgada,0.9259259259259258,8.999895879346697e-05
net100-go-realjun-folgada,pue-az-realjun-folgada,0.9259259259259258,8.999895879346697e-05
net100-go-realjun-folgada,pue-go-realjun-folgada,0.9999999999999999,2.3434607292951027e-05
net100-az-anticorr-folgada,net100-az-realjun-alta,0.7339758434175737,0.0017872890369872662
net100-az-anticorr-folgada,geo3-az-realjun-folgada,0.5504818825631803,0.019149571500766134
net100-az-anticorr-folgada,geo3-go-realjun-folgada,0.4770842982214229,0.04233022912136072
net100-az-anticorr-folgada,hetcap-az-realjun-folgada,0.8440722199302099,0.0003281542287518693
net100-az-anticorr-folgada,hetcap-az-anticorr-folgada,0.7777777777777777,0.0010036183650044851
net100-az-anticorr-folgada,pue-az-realjun-folgada,0.7777777777777777,0.0010036183650044851
net100-az-anticorr-folgada,pue-go-realjun-folgada,0.7037037037037037,0.002918218884552016
net100-az-realjun-alta,geo3-az-realjun-folgada,0.6727272727272727,0.0031063111271444604
net100-az-realjun-alta,geo3-go-realjun-folgada,0.7090909090909091,0.0015912097162097162
net100-az-realjun-alta,hetcap-az-realjun-folgada,0.8909090909090909,1.3728555395222063e-05
net100-az-realjun-alta,hetcap-az-anticorr-folgada,0.9541685964428458,4.896400204355126e-05
net100-az-realjun-alta,pue-az-realjun-folgada,0.9541685964428458,4.896400204355126e-05
net100-az-realjun-alta,pue-go-realjun-folgada,0.8807710121010884,0.0001781293054554629
geo3-az-realjun-folgada,geo3-go-realjun-folgada,0.38181818181818183,0.12097096961680295
geo3-az-realjun-folgada,hetcap-az-realjun-folgada,0.6363636363636364,0.005707170915504249
geo3-az-realjun-folgada,hetcap-az-anticorr-folgada,0.697277051246695,0.0030042622393982835
geo3-az-realjun-folgada,pue-az-realjun-folgada,0.697277051246695,0.0030042622393982835
geo3-az-realjun-folgada,pue-go-realjun-folgada,0.6238794669049376,0.007931923532795267
geo3-go-realjun-folgada,hetcap-az-realjun-folgada,0.6000000000000001,0.00994553671637005
geo3-go-realjun-folgada,hetcap-az-anticorr-folgada,0.697277051246695,0.0030042622393982835
geo3-go-realjun-folgada,pue-az-realjun-folgada,0.697277051246695,0.0030042622393982835
geo3-go-realjun-folgada,pue-go-realjun-folgada,0.7706746355884524,0.0010393630991335228
hetcap-az-realjun-folgada,hetcap-az-anticorr-folgada,0.8440722199302098,0.0003281542287518693
hetcap-az-realjun-folgada,pue-az-realjun-folgada,0.8440722199302098,0.0003281542287518693
hetcap-az-realjun-folgada,pue-go-realjun-folgada,0.7706746355884524,0.0010393630991335228
hetcap-az-anticorr-folgada,pue-az-realjun-folgada,0.9999999999999999,2.3434607292951027e-05
hetcap-az-anticorr-folgada,pue-go-realjun-folgada,0.9259259259259258,8.999895879346697e-05
pue-az-realjun-folgada,pue-go-realjun-folgada,0.9259259259259258,8.999895879346697e-05
