celula,algoritmo,atendimento_pct,posto_total,posto_por_vm,posto_difere
pue-az-realjun-folgada,lowest_carbon_dc,100.0,3.5,3.5,False
pue-az-realjun-folgada,round_robin,100.0,11.0,11.0,False
pue-az-realjun-folgada,worst_fit,100.0,10.0,10.0,False
pue-az-realjun-folgada,wsnb,100.0,5.0,5.0,False
pue-go-realjun-folgada,best_fit,100.0,9.0,9.0,False
pue-go-realjun-folgada,bfd,100.0,8.0,8.0,False
pue-go-realjun-folgada,cnemesis,100.0,2.0,2.0,False
pue-go-realjun-folgada,ffd,100.0,6.0,6.0,False
pue-go-realjun-folgada,first_fit,100.0,7.0,7.0,False
pue-go-realjun-folgada,follow_renewables,100.0,3.5,3.5,False
pue-go-realjun-folgada,followme_s,100.0,1.0,1.0,False
pue-go-realjun-folgada,lowest_carbon_dc,100.0,3.5,3.5,False
pue-go-realjun-folgada,round_robin,99.785,11.0,11.0,False
pue-go-realjun-folgada,worst_fit,98.745,10.0,10.0,False
pue-go-realjun-folgada,wsnb,100.0,5.0,5.0,False
