celula,metrica,algoritmo,media,posto_medio,vencedor
az-realjun-alta,total_kwh,best_fit,144.36187594725268,7.0,False
az-realjun-alta,total_kwh,bfd,145.06831831933778,9.0,False
az-realjun-alta,total_kwh,cnemesis,143.54537776724388,3.0,False
az-realjun-alta,total_kwh,ffd,144.52476910475295,8.0,False
az-realjun-alta,total_kwh,first_fit,144.27518225857926,6.0,False
az-realjun-alta,total_kwh,follow_renewables,138.83275048258665,1.0,True
az-realjun-alta,total_kwh,followme_s,142.78696617871097,2.0,False
az-realjun-alta,total_kwh,lowest_carbon_dc,143.66685542416107,4.0,False
az-realjun-alta,total_kwh,round_robin,159.40002048672028,11.0,False
az-realjun-alta,total_kwh,worst_fit,150.75585771840682,10.0,False
az-realjun-alta,total_kwh,wsnb,143.67882609047996,5.0,False
az-realjun-alta,gco2_por_vm,best_fit,6.80447869181006,8.0,False
az-realjun-alta,gco2_por_vm,bfd,6.88165212808884,9.0,False
az-realjun-alta,gco2_por_vm,cnemesis,6.286074564195468,3.0,False
az-realjun-alta,gco2_por_vm,ffd,6.692130228937336,7.0,False
az-realjun-alta,gco2_por_vm,first_fit,6.644784160763317,6.0,False
az-realjun-alta,gco2_por_vm,follow_renewables,5.926657044314644,1.0,True
az-realjun-alta,gco2_por_vm,followme_s,6.2672231754538155,2.0,False
az-realjun-alta,gco2_por_vm,lowest_carbon_dc,6.336210961942852,4.0,False
az-realjun-alta,gco2_por_vm,round_robin,7.578739180767317,11.0,False
az-realjun-alta,gco2_por_vm,worst_fit,7.113654964868556,10.0,False
az-realjun-alta,gco2_por_vm,wsnb,6.341682953701675,5.0,False
az-realjun-folgada,total_gco2,best_fit,21521.22836317863,9.0,False
az-realjun-folgada,total_gco2,bfd,21391.617040010162,8.0,False
az-realjun-folgada,total_gco2,cnemesis,5628.393432524473,2.0,False
az-realjun-folgada,total_gco2,ffd,13041.780256247843,7.0,False
az-realjun-folgada,total_gco2,first_fit,13010.10244011268,6.0,False
