celula,metrica,alg_i,alg_j,n_seeds,media_i,media_j,dif_media,dif_pct,dif_mediana,todas_dif_nulas,classe,p_bruto,r_rank_biserial,p_holm55,significativo
go-flat-folgada,gco2_por_vm,cnemesis,followme_s,30,9.421581315202438,9.219951720721319,0.201629594481119,2.1868834088140385,0.20242413038438034,False,contraste,1.862645149230957e-09,1.0,1.0244548320770264e-07,True
go-flat-folgada,gco2_por_vm,cnemesis,lowest_carbon_dc,30,9.421581315202438,9.494951497738661,-0.07337018253622282,-0.7727283552074682,-0.0716687670972993,False,contraste,3.2391399145126343e-06,-0.875268817204301,4.8587098717689514e-05,True
go-flat-folgada,gco2_por_vm,cnemesis,round_robin,30,9.421581315202438,32.5415128324654,-23.11993151726296,-71.04750057654695,-23.24394425389543,False,contraste,1.862645149230957e-09,-1.0,1.0244548320770264e-07,True
go-flat-folgada,gco2_por_vm,cnemesis,worst_fit,30,9.421581315202438,16.206485047700493,-6.784903732498055,-41.8653626158175,-6.842084334747668,False,contraste,1.862645149230957e-09,-1.0,1.0244548320770264e-07,True
go-flat-folgada,gco2_por_vm,cnemesis,wsnb,30,9.421581315202438,9.494951497738661,-0.07337018253622282,-0.7727283552074682,-0.0716687670972993,False,contraste,3.2391399145126343e-06,-0.875268817204301,4.8587098717689514e-05,True
go-flat-folgada,gco2_por_vm,ffd,first_fit,30,8.753961384941944,9.488473692752807,-0.7345123078108633,-7.74110074597009,-0.710130906277139,False,contraste,1.862645149230957e-09,-1.0,1.0244548320770264e-07,True
go-flat-folgada,gco2_por_vm,ffd,follow_renewables,30,8.753961384941944,9.494951497738661,-0.7409901127967181,-7.8040431588638866,-0.7331884314744315,False,contraste,1.862645149230957e-09,-1.0,1.0244548320770264e-07,True
go-flat-folgada,gco2_por_vm,ffd,followme_s,30,8.753961384941944,9.219951720721319,-0.46599033577937643,-5.054151582291799,-0.5330905810815487,False,contraste,1.862645149230957e-09,-1.0,1.0244548320770264e-07,True
go-flat-folgada,gco2_por_vm,ffd,lowest_carbon_dc,30,8.753961384941944,9.494951497738661,-0.7409901127967181,-7.8040431588638866,-0.7331884314744315,False,contraste,1.862645149230957e-09,-1.0,1.0244548320770264e-07,True
go-flat-folgada,gco2_por_vm,ffd,round_robin,30,8.753961384941944,32.5415128324654,-23.78755144752345,-73.0990952079878,-23.841738945714543,False,contraste,1.862645149230957e-09,-1.0,1.0244548320770264e-07,True
go-flat-folgada,gco2_por_vm,ffd,worst_fit,30,8.753961384941944,16.206485047700493,-7.452523662758551,-45.98482422822446,-7.420978735867546,False,contraste,1.862645149230957e-09,-1.0,1.0244548320770264e-07,True
