celula,algoritmo,seed,git_sha,total_kwh,total_gco2,total_migrations,total_mig_bytes,mean_active_hosts,final_sla_violations,total_unplaced_vms,algo_wall_total_us
geo3-go-realjun-folgada,cnemesis,44,305e2b27726305e196eea090fabc312280b39e1f,38.425092334622434,10668.886752681638,407,3255196.0095539093,98.56666666666666,4820,0,8200
geo3-go-realjun-folgada,cnemesis,45,305e2b27726305e196eea090fabc312280b39e1f,37.77537099609965,10415.051414609354,384,3222059.1079559326,95.27083333333333,5897,0,8256
geo3-go-realjun-folgada,cnemesis,46,305e2b27726305e196eea090fabc312280b39e1f,37.6735542175488,10443.766451617044,415,3051975.612016678,97.58333333333333,3747,4,8619
geo3-go-realjun-folgada,cnemesis,47,305e2b27726305e196eea090fabc312280b39e1f,37.52068403683565,10332.098571730116,388,2992500.1706762314,93.375,5122,0,8073
geo3-go-realjun-folgada,cnemesis,48,305e2b27726305e196eea090fabc312280b39e1f,36.31845343744831,9808.273113619436,388,3087560.36449337,92.425,3272,0,7146
geo3-go-realjun-folgada,cnemesis,49,305e2b27726305e196eea090fabc312280b39e1f,37.74303914054748,10430.357209316193,413,3635670.5644369125,97.02916666666667,6009,0,9817
geo3-go-realjun-folgada,cnemesis,50,305e2b27726305e196eea090fabc312280b39e1f,36.58499264377841,9950.416751188091,428,3397113.424782753,94.80416666666666,4720,3,9068
geo3-go-realjun-folgada,cnemesis,51,305e2b27726305e196eea090fabc312280b39e1f,36.62943118499976,9933.959486573243,400,3115960.4188280106,92.74583333333334,4882,2,8549
geo3-go-realjun-folgada,ffd,42,305e2b27726305e196eea090fabc312280b39e1f,35.04254154867378,9999.390637783014,0,0.0,101.29166666666667,0,0,957
geo3-go-realjun-folgada,ffd,43,305e2b27726305e196eea090fabc312280b39e1f,35.54966762093321,10346.738389107299,0,0.0,103.425,0,0,920
geo3-go-realjun-folgada,ffd,44,305e2b27726305e196eea090fabc312280b39e1f,36.362744700239375,10600.74308861987,0,0.0,105.45,0,0,1004
geo3-go-realjun-folgada,ffd,45,305e2b27726305e196eea090fabc312280b39e1f,34.77442772114125,9905.321519611734,0,0.0,99.88333333333334,0,0,989
geo3-go-realjun-folgada,ffd,46,305e2b27726305e196eea090fabc312280b39e1f,35.794423232796,10330.667618183816,0,0.0,101.49166666666666,0,0,716
geo3-go-realjun-folgada,ffd,47,305e2b27726305e196eea090fabc312280b39e1f,34.60977415306025,9904.890274159345,0,0.0,97.925,0,0,902
geo3-go-realjun-folgada,ffd,48,305e2b27726305e196eea090fabc312280b39e1f,33.58594021050509,9502.102810254702,0,0.0,96.05,0,0,971
geo3-go-realjun-folgada,ffd,49,305e2b27726305e196eea090fabc312280b39e1f,34.81129402468019,9945.056843095554,0,0.0,100.39583333333333,0,0,623
geo3-go-realjun-folgada,ffd,50,305e2b27726305e196eea090fabc312280b39e1f,35.29580524105055,10139.795433941243,0,0.0,100.77083333333333,0,0,927
